Age,ICV
1.06,1119019.946
1.06,1092960.471
1.07,1220078.835
1.07,1106807.076
1.07,948219.0685
1.07,988046.1453
1.10,1105762.162
1.12,1171593.719
1.14,1002680.441
1.14,915736.6292
1.17,863104.2935
1.18,1038098.512
1.19,1250944.408
1.21,1020922.932
1.21,977366.7783
1.22,1160448.641
1.22,1243181.8
1.23,1115212.136
1.23,1107059.18
1.23,1087913.513
1.23,973813.2596
1.25,967824.26
1.25,896055.2565
1.25,1105489.815
1.25,1094317.989
1.25,1049211.843
1.25,1080187.157
1.25,1307219.261
1.25,1111123.474
1.26,1244910.532
1.26,1013136.639
1.26,1472146.499
1.26,1241993.773
1.26,1065198.891
1.26,1076137.242
1.26,1109581.971
1.26,1429088.429
1.27,1059137.898
1.27,1001026.452
1.27,1232994.767
1.27,1125057.567
1.27,1118349.877
1.28,1027824.362
1.28,794402.9687
1.28,1041655.463
1.28,1042284.099
1.28,1238022.227
1.29,1089915.973
1.29,956978.2818
1.30,1088535.342
1.30,1068329.257
1.30,1185595.062
1.30,1119384.916
1.32,1137182.195
1.33,1289308.736
1.39,1316967.699
1.42,1131118.066
1.42,992752.5062
1.43,1038528.221
1.44,987317.7108
1.44,1080749.236
1.44,1154458.261
1.45,1250197.97
1.46,1119519.905
1.46,1132820.555
1.46,1138511.21
1.47,1141468.84
1.48,1149746.526
1.48,1525932.177
1.48,774731.4129
1.48,1313381.746
1.49,1285940.015
1.49,1165452.352
1.49,1092698.873
1.50,1073884.428
1.51,1054221.304
1.51,1079653.326
1.51,1293232.792
1.51,1107627.258
1.53,1290602.004
1.53,1126935.167
1.54,1184251.423
1.54,1247834.415
1.54,1093059.088
1.54,1306648.553
1.55,1044597.788
1.55,1451558.571
1.55,1088490.465
1.55,1247227.716
1.55,1051494.404
1.55,1065356.378
1.56,1132773.429
1.56,990989.3447
1.56,1296574.636
1.56,1131252.055
1.57,1183351.377
1.58,1071445.755
1.58,1226827.527
1.58,1249015.948
1.58,1304789.456
1.58,1144186.615
1.59,1239649.092
1.60,1192323.88
1.62,1104356.534
1.63,989788.194
1.63,1149404.554
1.63,1124826.341
1.64,1202831.017
1.67,1163170.921
1.70,1565623.14
1.70,1112805.205
1.71,1018876.101
1.71,1222232.537
1.71,1159601.711
1.72,1077882.848
1.75,1436961.278
1.75,1232265.703
1.78,1197690.561
1.81,1122183.56
1.83,1268937.426
1.86,1350105.584
1.86,1092071.924
1.87,1096134.714
1.91,1121465.864
1.92,1289269.989
1.93,1364002.56
1.94,979058.3937
1.95,1303902.655
1.96,1172469.772
1.96,1203509.836
1.97,1205936.88
1.97,1046490.693
1.98,1275365.519
1.99,1344172.95
2.00,1357040.636
2.01,1368925.403
2.01,1222369.276
2.01,1211728.151
2.01,1098890.361
2.01,1355978.349
2.02,1161810.653
2.03,1476037.422
2.04,1097357.857
2.04,1324883.045
2.04,1227249.748
2.04,1338789.77
2.05,1243803.249
2.05,1269898.471
2.05,1052268.216
2.06,1032676.96
2.06,1207403.389
2.07,1399229.023
2.07,1188076.356
2.07,1119639.895
2.08,1233993.435
2.08,1352900.853
2.10,1162294.243
2.10,1267566.659
2.11,1190048.568
2.13,1015222.842
2.15,1419863.947
2.15,1197305.349
2.15,1101247.291
2.18,1281114.414
2.19,1287015.176
2.20,1044614.973
2.21,1277552.713
2.22,1511574.609
2.22,1261709.768
2.22,1196860.385
2.28,1603532.256
2.36,1377916.66
2.39,1341256.691
2.40,1317615.646
2.43,1380072.107
2.44,1095199.036
2.47,1262627.947
2.47,1390175.396
2.47,1274058.497
2.47,1636010.945
2.48,1284869.353
2.49,1231701.255
2.51,1231518.52
2.51,1336174.111
2.51,1186431.998
2.51,1339521.71
2.52,1255267.931
2.52,1385309.924
2.52,1134737.767
2.53,1419429.228
2.53,1419636.336
2.53,1436609.057
2.53,1436245.592
2.53,1471643.16
2.54,1324402.965
2.55,1376529.9
2.55,1301533.731
2.55,1274838.188
2.56,1051286.172
2.56,1291895.022
2.56,1228765.117
2.57,1283873.436
2.57,1205299.313
2.58,1337862.602
2.59,1150891.311
2.59,1449870.586
2.59,1308249.425
2.59,1429118.676
2.59,1200371.845
2.60,1138553.076
2.60,1307634.596
2.61,1216859.227
2.61,1328047.908
2.61,1211652.162
2.62,1495425.944
2.62,1257670.232
2.63,1317729.392
2.65,1147166.744
2.66,1511307.881
2.68,1257429.622
2.68,1135027.243
2.68,1112997.064
2.69,1352800.737
2.70,1053635.227
2.70,1188223.099
2.70,1232669.669
2.70,1425655.713
2.71,1218269.74
2.76,1089125.293
2.78,1296159.175
2.80,1221141.622
2.81,1264465.54
2.82,803650.1416
2.84,1208086.457
2.88,1235677.176
2.90,1391235.559
2.92,1686498.146
2.93,1092308.28
2.94,1152501.053
2.96,1293619.385
2.96,1462520.79
2.96,1481203.125
2.98,1558019.524
2.99,1380847.918
2.99,1172459.278
3.00,1101284.038
3.00,1504476.196
3.01,1371801.796
3.01,1206938.427
3.01,1260019.288
3.01,1297369.325
3.02,1319945.453
3.02,1070166.861
3.02,1330728.317
3.02,1366195.884
3.02,1265550.831
3.03,979832.7671
3.03,1225423.268
3.04,1340424.51
3.04,1214504.046
3.04,1359110.095
3.04,1442607.936
3.05,1188637.065
3.06,1223059.094
3.07,1509902.247
3.07,1230843.7
3.07,1488027.431
3.07,1152287.071
3.07,1382817.13
3.08,1103183.256
3.08,1346642.996
3.08,1348622.837
3.09,1242318.627
3.10,1491147.173
3.10,1207856.601
3.11,1254278.888
3.13,1277780.695
3.15,1267499.165
3.15,1209558.585
3.16,1247287.461
3.17,1183172.762
3.21,1384817.22
3.22,1277765.196
3.23,1261543.787
3.24,1278081.92
3.27,1265427.961
3.28,1253830.42
3.33,1413874.687
3.35,1450715.641
3.35,1128285.055
3.36,1493190.129
3.38,1263692.859
3.39,1404717.444
3.39,1440746.965
3.41,1256837.671
3.42,1344095.456
3.44,1585390.506
3.45,1247738.673
3.46,1246797.256
3.47,1201225.774
3.52,1093433.687
3.61,1252220.053
3.61,1416843.441
3.61,1167267.207
3.62,1234980.353
3.63,1268486.838
3.64,1088627.959
3.66,1334216.273
3.67,1162751.206
3.67,1298554.222
3.75,1212785.813
3.75,1468730.151
3.76,1096133.464
3.79,1261119.317
3.80,1359923.273
3.81,1409275.822
3.82,1354932.316
3.84,1173480.318
3.88,1342714.321
3.90,1335008.458
3.99,1578237.597
4.00,1471237.699
4.02,1391243.188
4.04,1140451.049
4.04,1320545.654
4.04,1312798.549
4.05,1443376.248
4.08,1311703.89
4.08,1227996.056
4.08,1301627.723
4.09,1125675.271
4.09,1376778.629
4.09,1562040.436
4.10,1258617.279
4.10,1454590.32
4.10,1348433.728
4.12,1508446.867
4.12,1201797.977
4.13,1522628.695
4.14,1287692.12
4.14,1148946.972
4.14,1401930.924
4.15,1480657.92
4.16,1320526.155
4.16,1438844.622
4.16,1377729.556
4.17,1246397.534
4.18,1301884.827
4.18,1334303.646
4.18,1547017.803
4.19,1504928.283
4.22,1390472.872
4.22,1245053.145
4.24,1408527.884
4.24,1502793.335
4.24,1457288.977
4.25,1512820.631
4.26,1253815.296
4.26,1222766.243
4.27,1375553.611
4.27,1392265.229
4.29,1443906.204
4.31,1292179.504
4.33,1399029.295
4.34,1255187.563
4.36,1103219.378
4.37,1314638.647
4.39,1214119.828
4.39,1495654.68
4.40,1226362.196
4.41,1372762.211
4.43,1349257.785
4.47,1560417.57
4.49,1304257.75
4.50,1471313.938
4.55,1240619.262
4.55,1343260.281
4.55,1327684.568
4.59,1373084.06
4.62,1186487.118
4.64,1537138.62
4.66,1293389.529
4.68,1333806.062
4.70,1814202.587
4.71,1611945.31
4.72,1405670.74
4.76,1454859.803
4.76,1520323.885
4.78,1499140.392
4.80,1387314.633
4.81,1291971.771
4.82,1651310.18
4.84,1361976.733
4.84,1741309.614
4.88,1204072.539
4.89,1559450.025
4.89,1259600.193
4.89,1317844.382
4.92,1391913.503
4.92,1376364.169
4.93,1235464.193
4.94,1188074.862
5.01,1555326.747
5.02,1705940.538
5.04,1446473.622
5.04,1716631.654
5.05,1357224.751
5.10,1295580.348
5.13,1268834.434
5.19,1418898.646
5.19,1596552.458
5.19,1285157.085
5.21,1144504.714
5.24,1714564.575
5.25,1387887.591
5.27,1555783.079
5.28,1257534.619
5.35,1566402.326
5.38,1456519.041
5.39,1577166.186
5.41,1261542.037
5.41,1252230.057
5.42,1250878.164
5.44,1171235.504
5.49,1282932.513
5.49,1438337.039
5.51,1482807.987
5.56,1408848.727
5.61,1252044.948
5.63,1247173.975
5.63,1601181.325
5.65,1488163.545
5.65,1668648.622
5.66,1467857.223
5.66,1318100.606
5.67,1233899.323
5.67,1420257.914
5.69,1183326.504
5.71,1474285.192
5.72,1708601.318
5.76,1393260.641
5.76,1532345.891
5.76,1705456.328
5.78,1527913.883
5.79,1495766.546
5.79,1181262.425
5.81,1268417.469
5.85,1301557.973
5.88,1131721.771
5.88,1233550.852
5.88,1328712.733
5.89,1234824.246
5.89,1429586.143
5.90,1364904.736
5.92,1526905.341
5.92,1445277.215
5.98,1561963.443
5.99,1556155.678
6.01,1495860.033
6.02,1476483.385
6.02,1405672.99
6.05,1267285.312
6.07,1381497.619
6.08,1557681.802
6.09,1425089.885
6.09,1446953.327
6.11,1565814.624
6.12,1581364.838
6.19,1441824.631
6.23,1480814.157
6.23,1360618.845
6.31,1330978.296
6.33,1501900.534
6.33,1188684.936
6.36,1309714.424
6.38,1452245.389
6.41,1379964.496
6.43,1543954.562
6.47,1473681.992
6.47,1713324.678
6.48,1142870.599
6.51,1445706.055
6.51,1259364.337
6.52,1488111.549
6.52,1682225.624
6.53,1349248.036
6.55,1500652.767
6.56,1331543.749
6.56,1544262.406
6.60,1484401.361
6.60,1527890.26
6.61,1425947.319
6.61,1480048.721
6.63,1484177.874
6.67,1251808.217
6.68,1525125.363
6.75,1320965.749
6.75,1403924.89
6.75,1475215.62
6.80,1273781.025
6.80,1463544.085
6.80,1619650.298
6.82,1480054.22
6.83,1410720.203
6.85,1613549.802
6.85,1317120.192
6.87,1483719.662
6.90,1692166.052
6.95,1393878.72
6.96,1351093.633
6.99,1589590.408
6.99,1464381.516
7.00,1589565.16
7.01,1561610.097
7.01,1245966.95
7.02,1732744.447
7.03,1431202.259
7.07,1443417.999
7.08,1319268.639
7.09,1455299.012
7.10,1521156.697
7.11,1411152.417
7.11,1347600.922
7.15,1558743.459
7.16,1596979.547
7.16,1286800.199
7.18,1518189.567
7.19,1264230.065
7.19,1456655.4
7.26,1396856.844
7.27,1555541.474
7.29,1397090.955
7.29,1619831.783
7.34,1280684.83
7.39,1560361.825
7.39,1346933.102
7.40,1446173.641
7.45,1602934.305
7.49,1650685.232
7.51,1567325.999
7.53,1418119.086
7.53,1355953.106
7.54,1487121.506
7.55,1408007.927
7.57,1196828.763
7.58,1545642.792
7.58,1583098.45
7.62,1511640.109
7.66,1269900.591
7.67,1649502.96
7.67,1578121.607
7.68,1670166.251
7.72,1734625.167
7.73,1580127.821
7.74,1477553.547
7.75,1468966.882
7.75,1350591.799
7.79,1457329.974
7.81,1490521.6
7.84,1389903.669
7.84,1640871.918
7.85,1604265.195
7.86,1589334.679
7.86,1465083.578
7.89,1612413.271
7.89,1356031.975
7.90,1478187.369
7.90,1503817.755
7.90,1660898.518
7.91,1418178.711
7.92,1532635.367
7.94,1272473.883
7.96,1464142.411
7.97,1502648.102
7.97,1514583.36
7.99,1377006.615
8.01,1522042.243
8.02,1548297.947
8.04,1373709.763
8.07,1344344.941
8.08,1690190.091
8.10,1448701.563
8.11,1373692.759
8.12,1663057.084
8.13,1330767.189
8.15,1529643.865
8.17,1609982.097
8.18,1335893.015
8.20,1507377.711
8.20,1593526.708
8.20,1421978.517
8.20,1537340.853
8.21,1565555.896
8.24,1360305.746
8.24,1449956.709
8.25,1575832.421
8.26,1561796.337
8.26,1575308.589
8.27,1395285.099
8.27,1381955.081
8.28,1265755.189
8.32,1323766.887
8.32,1546158.505
8.33,1527163.195
8.33,1396327.638
8.33,1483403.688
8.34,1544135.667
8.35,1447419.169
8.35,1600626.246
8.36,1419571.341
8.39,1336232.362
8.39,1462726.148
8.39,1682515.35
8.39,1457950.798
8.39,1580953.628
8.40,1555088.766
8.40,1504141.848
8.41,1614038.637
8.41,1561257.251
8.41,1398557.709
8.42,1241911.66
8.43,1441130.189
8.43,1598545.043
8.43,1408859.107
8.44,1515911.755
8.44,1302558.891
8.45,1497961.615
8.46,1675759.409
8.49,1546346.984
8.49,1374972.284
8.50,1327579.827
8.51,1469384.847
8.52,1415618.673
8.53,1582492.995
8.53,1567279.003
8.54,1556790.12
8.55,1743843.404
8.56,1207687.49
8.56,1687722.045
8.62,1444758.889
8.63,1680021.681
8.65,1748626.759
8.66,1607082.837
8.67,1409787.78
8.67,1368342.452
8.69,1581278.601
8.69,1456600.784
8.75,1562639.387
8.75,1496992.065
8.75,1562655.635
8.77,1460542.833
8.77,1522581.574
8.77,1402958.22
8.78,1475986.307
8.78,1678224.08
8.79,1355603.26
8.81,1412797.531
8.82,1372958.695
8.83,1302930.99
8.83,1278551.506
8.85,1262968.544
8.85,1515164.067
8.85,1526228.402
8.86,1272141.281
8.87,1521730.524
8.87,1526604.496
8.88,1527547.163
8.89,1401736.446
8.90,1279840.649
8.91,1694118.766
8.91,1673691.08
8.92,1454140.738
8.93,1621184.296
8.93,1313469.619
8.94,1446847.586
8.94,1801125.668
8.94,1364450.023
8.96,1554797.665
8.97,1383870.168
8.97,1295953.067
9.00,1423083.681
9.00,1423544.768
9.049315068,1387261.892
9.06,1822824.624
9.07,1500513.654
9.07,1483095.469
9.08,1538806.107
9.09,1334723.611
9.11,1380198.227
9.12,1537809.945
9.13,1459057.706
9.13,1536530.295
9.14,1298203.256
9.14,1299549.02
9.15,1448693.183
9.15,1544837.859
9.15,1631998.527
9.16,1219821.487
9.16,1522678.941
9.20,1619594.802
9.20,1334002.666
9.21,1522006.502
9.21,1490270.245
9.21,1440919.451
9.21,1333198.238
9.21,1348340.986
9.21,1457994.044
9.23,1435725.505
9.24,1434240.258
9.25,1461751.478
9.25,1465413.426
9.27,1602778.573
9.28,1667556.712
9.30,1383054.735
9.30,1488257.787
9.30,1421050.599
9.31,1638645.227
9.31,1650423.379
9.32,1441993.362
9.34,1556684.379
9.35,1223952.895
9.36,1567699.968
9.36,1787567.414
9.38,1679585.467
9.40,1573505.863
9.40,1486498.057
9.41,1339915.052
9.42,1460318.352
9.44,1652447.211
9.44,1522659.692
9.44,1501902.539
9.45,1543976.68
9.45,1650450.126
9.47,1530684.404
9.47,1298675.842
9.50,1528537.961
9.50,1406058.963
9.50,1435392.783
9.52,1467579.121
9.53,1563896.408
9.54,1616958.27
9.55,1505464.989
9.55,1401885.308
9.56,1715531.12
9.57,1674922.733
9.59,1557539.933
9.59,1530945.007
9.63,1550217.414
9.66,1393284.389
9.66,1506963.99
9.66,1587379.221
9.68,1289380.486
9.69,1487827.328
9.69,1410511.965
9.69,1498889.658
9.70,1319560.24
9.70,1433767.172
9.71,1532241.155
9.71,1493484.105
9.72,1423260.916
9.72,1356558.051
9.73,1467293.525
9.73,1311858.877
9.73,1398480.835
9.73,1548425.562
9.75,1689388.662
9.75,1334222.273
9.76,1508067.529
9.79,1708754.181
9.80,1421081.846
9.80,1419157.5
9.80,1772682.895
9.81,1424417.315
9.81,1527597.159
9.81,1480329.822
9.82,1501010.987
9.82,1398649.696
9.84,1600690.241
9.87,1357873.072
9.91,1675993.52
9.91,1423296.663
9.92,1546139.001
9.92,1628904.908
9.92,1628493.067
9.95,1485629.629
9.95,1495256.083
9.96,1484903.689
9.96,1595965.386
9.97,1355324.408
9.97,1409439.059
9.97,1547229.911
9.98,1181756.504
9.99,1473100.79
9.99,1390333.264
10.00,1475563.586
10.00,1661671.199
10.00,1405901.346
10.00,1312489.95
10.01,1389110.49
10.01,1417610.758
10.03,1594172.779
10.04,1296248.543
10.07,1415252.828
10.08,1520401.129
10.08,1419470.979
10.08,1553485.894
10.12,1328354.388
10.13,1495401.451
10.14,1622258.332
10.14,1625751.918
10.16,1196335.804
10.16,1479731.997
10.17,1637432.453
10.17,1584667.19
10.18,1385693.767
10.18,1463270.478
10.19,1620025.017
10.19,1469718.95
10.19,1546927.186
10.20,1553644.88
10.20,1604294.068
10.20,1512267.182
10.22,1349066.426
10.25,1516952.794
10.28,1692774.627
10.29,1432274.791
10.30,1664382.974
10.32,1773971.913
10.33,1600417.388
10.33,1717380.842
10.33,1542273.826
10.33,1544550.513
10.33,1286562.844
10.35,1309232.219
10.36,1558165.887
10.36,1678271.701
10.37,1511667.726
10.37,1654444.796
10.38,1572698.305
10.38,1535465.883
10.39,1491050.431
10.39,1576084.155
10.40,1346039.796
10.40,1190543.277
10.40,1345170.873
10.41,1709225.022
10.41,1472859.56
10.41,1554375.825
10.42,1473686.497
10.42,1469770.94
10.42,1301310.624
10.44,1618707.376
10.46,1637064.358
10.46,1594663.114
10.46,1563793.541
10.46,1560670.549
10.47,1473063.668
10.47,1702613.438
10.48,1584592.572
10.48,1338793.4
10.48,1301451.737
10.50,1563221.214
10.52,1715790.349
10.52,1400071.203
10.52,1587913.047
10.52,1424284.831
10.53,1382024.945
10.53,1485582.513
10.53,1681454.813
10.53,1609585.255
10.54,1475627.586
10.54,1454032.122
10.55,1385479.79
10.55,1379343.672
10.56,1582561.989
10.56,1502246.01
10.57,1709318.634
10.58,1396787.1
10.63,1549330.742
10.64,1602662.827
10.64,1645473.538
10.64,1405930.099
10.65,1577695.897
10.65,1481071.886
10.65,1551052.1
10.66,1692644.763
10.66,1752904.03
10.67,1426083.677
10.67,1321601.321
10.68,1374778.294
10.68,1537936.934
10.69,1568644.395
10.69,1482268.532
10.69,1463090.993
10.71,1470138.79
10.71,1448839.176
10.73,1838703.311
10.73,1565604.142
10.74,1304208.504
10.75,1557186.463
10.75,1248009.781
10.76,1483201.33
10.77,1405821.358
10.79,1529545.123
10.79,1327632.318
10.79,1462749.651
10.79,1345426.227
10.79,1316911.704
10.80,1473255.027
10.80,1464070.287
10.82,1474019.339
10.83,1629492.859
10.83,1441867.253
10.84,1601435.179
10.86,1455014.541
10.86,1618107.931
10.86,1682654.464
10.87,1555793.078
10.88,1484866.447
10.90,1499018.397
10.91,1450763.267
10.92,1325879.718
10.92,1555621.967
10.92,1300661.678
10.95,1580570.904
10.96,1425649.588
10.97,1592289.565
10.98,1490929.316
10.98,1560677.424
10.98,1590337.222
10.99,1501277.84
10.99,1630191.426
11.00,1333845.559
11.00,1507492.946
11.00,1342839.315
11.00,1398278.976
11.00,1664459.968
11.00,1497013.813
11.03,1572695.055
11.05,1564426.364
11.06,1481754.455
11.06,1658148.24
11.07,1435711.256
11.08,1568060.694
11.09,1538569.627
11.10,1312226.722
11.12,1417342.28
11.13,1588205.023
11.15,1420915.735
11.17,1451629.945
11.17,1364570.763
11.18,1414798.111
11.19,1261020.08
11.19,1401810.565
11.19,1343809.11
11.20,1411279.526
11.21,1403666.661
11.22,1423553.512
11.24,1748087.553
11.25,1450445.043
11.27,1683117.68
11.27,1453124.947
11.28,1639425.043
11.30,1526437.01
11.32,1712732.727
11.32,1352986.101
11.40,1606356.272
11.41,1459018.079
11.41,1539487.676
11.44,1536112.21
11.45,1540061.503
11.46,1546395.105
11.46,1689132.928
11.47,1565670.766
11.49,1618736.504
11.49,1495570.187
11.50,1739318.778
11.52,1505066.152
11.53,1745558.893
11.53,1491888.242
11.55,1530195.444
11.55,1282635.413
11.55,1396058.785
11.55,1540968.678
11.56,1421607.178
11.56,1355652.506
11.56,1355104.921
11.56,1439243.595
11.58,1467549.749
11.58,1597012.545
11.59,1438288.673
11.60,1275966.595
11.60,1463149.363
11.62,1479664.877
11.63,1601570.168
11.65,1572676.182
11.65,1814151.216
11.66,1489268.328
11.67,1347880.774
11.68,1446413.252
11.69,1457752.559
11.71,1576699.099
11.71,1291657.672
11.72,1433561.814
11.72,1414167.918
11.73,1434782.588
11.74,1555633.966
11.77,1380226.099
11.80,1553163.17
11.80,1542637.54
11.80,1640046.237
11.81,1471354.559
11.82,1270893.014
11.83,1422439.979
11.83,1663429.053
11.85,1515747.769
11.86,1454903.05
11.87,1482738.368
11.88,1582524.118
11.88,1334722.362
11.88,1492863.531
11.88,1406790.028
11.90,1398947.046
11.91,1326689.021
11.92,1647853.966
11.92,1427973.896
11.93,1675147.084
11.93,1532212.533
11.93,1374910.159
11.95,1505807.091
11.95,1335547.913
11.98,1558021.524
11.98,1624452.276
11.98,1702595.82
11.99,1653578.743
12.01,1506915.994
12.04,1467029.047
12.04,1838785.554
12.05,1586233.316
12.05,1299109.931
12.07,1302403.784
12.07,1395381.221
12.07,1516608.193
12.08,1421893.024
12.09,1650865.342
12.09,1636128.435
12.10,1428872.327
12.10,1611029.261
12.14,1752590.556
12.14,1412108.958
12.15,1622092.221
12.15,1506988.863
12.15,1511914.081
12.18,1309072.982
12.18,1344095.462
12.18,1659645.366
12.18,1572310.212
12.20,1656571.37
12.20,1713638.902
12.20,1553071.178
12.22,1314787.635
12.23,1745386.902
12.24,1484943.691
12.25,1433711.047
12.25,1477414.433
12.25,1506305.295
12.27,1298593.849
12.28,1730526.755
12.29,1678466.685
12.29,1568038.695
12.30,1405257.405
12.33,1578080.86
12.33,1551934.397
12.33,1501991.401
12.33,1589300.182
12.33,1504698.177
12.35,1600103.289
12.35,1646562.323
