"Dataset","lh_inferiortemporal_thickness"
"ABIDE_I",2.845
"ABIDE_I",2.868
"ABIDE_I",2.861
"ABIDE_I",2.961
"ABIDE_I",2.96
"ABIDE_I",2.693
"ABIDE_I",2.673
"ABIDE_I",2.204
"ABIDE_I",2.709
"ABIDE_I",2.476
"ABIDE_I",2.678
"ABIDE_I",2.684
"ABIDE_I",2.603
"ABIDE_I",2.601
"ABIDE_I",2.638
"ABIDE_I",2.609
"ABIDE_I",2.559
"ABIDE_I",2.63
"ABIDE_I",2.515
"ABIDE_I",2.784
"ABIDE_I",2.664
"ABIDE_I",2.531
"ABIDE_I",2.888
"ABIDE_I",3.034
"ABIDE_I",2.732
"ABIDE_I",2.802
"ABIDE_I",2.871
"ABIDE_I",3.012
"ABIDE_I",2.973
"ABIDE_I",2.766
"ABIDE_I",2.871
"ABIDE_I",2.598
"ABIDE_I",2.906
"ABIDE_I",2.622
"ABIDE_I",2.825
"ABIDE_I",2.798
"ABIDE_I",2.923
"ABIDE_I",2.932
"ABIDE_I",2.691
"ABIDE_I",2.983
"ABIDE_I",2.883
"ABIDE_I",2.776
"ABIDE_I",2.939
"ABIDE_I",2.984
"ABIDE_I",2.943
"ABIDE_I",2.857
"ABIDE_I",3.098
"ABIDE_I",3.031
"ABIDE_I",3.052
"ABIDE_I",2.736
"ABIDE_I",2.841
"ABIDE_I",2.97
"ABIDE_I",3.168
"ABIDE_I",3.272
"ABIDE_I",2.97
"ABIDE_I",2.819
"ABIDE_I",2.83
"ABIDE_I",2.579
"ABIDE_I",2.999
"ABIDE_I",2.741
"ABIDE_I",2.934
"ABIDE_I",2.914
"ABIDE_I",2.821
"ABIDE_I",2.94
"ABIDE_I",2.702
"ABIDE_I",2.85
"ABIDE_I",2.757
"ABIDE_I",3.076
"ABIDE_I",2.741
"ABIDE_I",3.066
"ABIDE_I",2.8
"ABIDE_I",2.853
"ABIDE_I",2.877
"ABIDE_I",2.768
"ABIDE_I",2.719
"ABIDE_I",3.05
"ABIDE_I",2.892
"ABIDE_I",2.961
"ABIDE_I",2.735
"ABIDE_I",2.593
"ABIDE_I",2.63
"ABIDE_I",2.764
"ABIDE_I",2.909
"ABIDE_I",2.757
"ABIDE_I",2.693
"ABIDE_I",2.75
"ABIDE_I",2.638
"ABIDE_I",2.633
"ABIDE_I",2.716
"ABIDE_I",2.782
"ABIDE_I",2.668
"ABIDE_I",2.717
"ABIDE_I",2.783
"ABIDE_I",2.356
"ABIDE_I",2.579
"ABIDE_I",2.577
"ABIDE_I",2.637
"ABIDE_I",2.688
"ABIDE_I",2.614
"ABIDE_I",2.896
"ABIDE_I",2.95
"ABIDE_I",2.752
"ABIDE_I",2.64
"ABIDE_I",2.695
"ABIDE_I",2.903
"ABIDE_I",3.007
"ABIDE_I",2.641
"ABIDE_I",2.5
"ABIDE_I",2.466
"ABIDE_I",2.707
"ABIDE_I",2.619
"ABIDE_I",2.688
"ABIDE_I",2.702
"ABIDE_I",2.958
"ABIDE_I",2.739
"ABIDE_I",2.869
"ABIDE_I",2.627
"ABIDE_I",2.704
"ABIDE_I",2.739
"ABIDE_I",2.534
"ABIDE_I",3.049
"ABIDE_I",2.928
"ABIDE_I",2.889
"ABIDE_I",2.502
"ABIDE_I",2.646
"ABIDE_I",2.785
"ABIDE_I",3.079
"ABIDE_I",2.879
"ABIDE_I",2.513
"ABIDE_I",2.594
"ABIDE_I",2.687
"ABIDE_I",2.807
"ABIDE_I",2.934
"ABIDE_I",2.66
"ABIDE_I",2.74
"ABIDE_I",2.724
"ABIDE_I",2.96
"ABIDE_I",3.026
"ABIDE_I",2.552
"ABIDE_I",2.773
"ABIDE_I",2.704
"ABIDE_I",2.625
"ABIDE_I",2.666
"ABIDE_I",2.548
"ABIDE_I",2.732
"ABIDE_I",2.807
"ABIDE_I",2.398
"ABIDE_I",2.774
"ABIDE_I",2.636
"ABIDE_I",2.927
"ABIDE_I",2.649
"ABIDE_I",2.587
"ABIDE_I",2.489
"ABIDE_I",2.663
"ABIDE_I",2.63
"ABIDE_I",2.876
"ABIDE_I",2.548
"ABIDE_I",2.923
"ABIDE_I",2.862
"ABIDE_I",2.735
"ABIDE_I",2.601
"ABIDE_I",2.579
"ABIDE_I",2.695
"ABIDE_I",2.267
"ABIDE_I",2.615
"ABIDE_I",2.584
"ABIDE_I",2.736
"ABIDE_I",2.984
"ABIDE_I",3.001
"ABIDE_I",2.928
"ABIDE_I",2.547
"ABIDE_I",2.861
"ABIDE_I",2.763
"ABIDE_I",2.801
"ABIDE_I",2.795
"ABIDE_I",2.908
"ABIDE_I",2.861
"ABIDE_I",2.709
"ABIDE_I",2.766
"ABIDE_I",2.358
"ABIDE_I",2.673
"ABIDE_I",2.516
"ABIDE_I",2.659
"ABIDE_I",2.553
"ABIDE_I",2.735
"ABIDE_I",2.461
"ABIDE_I",2.324
"ABIDE_I",2.612
"ABIDE_I",2.754
"ABIDE_I",2.482
"ABIDE_I",2.558
"ABIDE_I",2.253
"ABIDE_I",2.568
"ABIDE_I",2.377
"ABIDE_I",2.434
"ABIDE_I",2.872
"ABIDE_I",2.242
"ABIDE_I",2.71
"ABIDE_I",2.516
"ABIDE_I",2.447
"ABIDE_I",2.585
"ABIDE_I",2.868
"ABIDE_I",2.425
"ABIDE_I",2.957
"ABIDE_I",2.366
"ABIDE_I",2.642
"ABIDE_I",2.777
"ABIDE_I",2.832
"ABIDE_I",2.556
"ABIDE_I",2.544
"ABIDE_I",2.676
"ABIDE_I",2.638
"ABIDE_I",2.805
"ABIDE_I",2.657
"ABIDE_I",2.546
"ABIDE_I",2.635
"ABIDE_I",2.779
"ABIDE_I",2.62
"ABIDE_I",2.675
"ABIDE_I",2.675
"ABIDE_I",2.887
"ABIDE_I",2.923
"ABIDE_I",2.578
"ABIDE_I",2.833
"ABIDE_I",2.988
"ABIDE_I",2.584
"ABIDE_I",2.683
"ABIDE_I",2.779
"ABIDE_I",2.886
"ABIDE_I",2.854
"ABIDE_I",2.743
"ABIDE_I",2.523
"ABIDE_I",2.795
"ABIDE_I",2.977
"ABIDE_I",2.811
"ABIDE_I",2.983
"ABIDE_I",2.94
"ABIDE_I",2.818
"ABIDE_I",2.697
"ABIDE_I",2.745
"ABIDE_I",3.067
"ABIDE_I",2.839
"ABIDE_I",2.76
"ABIDE_I",2.9
"ABIDE_I",2.673
"ABIDE_I",2.866
"ABIDE_I",2.826
"ABIDE_I",2.966
"ABIDE_I",2.684
"ABIDE_I",2.873
"ABIDE_I",2.5
"ABIDE_I",2.973
"ABIDE_I",2.641
"ABIDE_I",2.7
"ABIDE_I",2.515
"ABIDE_I",2.684
"ABIDE_I",2.72
"ABIDE_I",2.724
"ABIDE_I",2.856
"ABIDE_I",2.553
"ABIDE_I",2.573
"ABIDE_I",2.78
"ABIDE_I",2.898
"ABIDE_I",2.847
"ABIDE_I",2.693
"ABIDE_I",2.765
"ABIDE_I",2.732
"ABIDE_I",2.92
"ABIDE_I",2.965
"ABIDE_I",2.962
"ABIDE_I",2.906
"ABIDE_I",2.814
"ABIDE_I",2.601
"ABIDE_I",2.627
"ABIDE_I",2.547
"ABIDE_I",2.665
"ABIDE_I",2.661
"ABIDE_I",2.898
"ABIDE_I",2.634
"ABIDE_I",2.825
"ABIDE_I",2.507
"ABIDE_I",2.713
"ABIDE_I",2.802
"ABIDE_I",2.725
"ABIDE_I",2.668
"ABIDE_I",2.994
"ABIDE_I",2.702
"ABIDE_I",2.765
"ABIDE_I",2.711
"ABIDE_I",2.67
"ABIDE_I",2.613
"ABIDE_I",2.827
"ABIDE_I",2.926
"ABIDE_I",3.033
"ABIDE_I",2.804
"ABIDE_I",2.778
"ABIDE_I",2.799
"ABIDE_I",2.864
"ABIDE_I",2.754
"ABIDE_I",2.645
"ABIDE_I",2.741
"ABIDE_I",2.186
