"Dataset","lh_entorhinal_gauscurv"
"ABIDE_I",0.037
"ABIDE_I",0.055
"ABIDE_I",0.04
"ABIDE_I",0.055
"ABIDE_I",0.033
"ABIDE_I",0.048
"ABIDE_I",0.054
"ABIDE_I",0.033
"ABIDE_I",0.035
"ABIDE_I",0.038
"ABIDE_I",0.035
"ABIDE_I",0.031
"ABIDE_I",0.034
"ABIDE_I",0.026
"ABIDE_I",0.053
"ABIDE_I",0.031
"ABIDE_I",0.024
"ABIDE_I",0.043
"ABIDE_I",0.027
"ABIDE_I",0.029
"ABIDE_I",0.02
"ABIDE_I",0.044
"ABIDE_I",0.029
"ABIDE_I",0.036
"ABIDE_I",0.038
"ABIDE_I",0.039
"ABIDE_I",0.03
"ABIDE_I",0.023
"ABIDE_I",0.031
"ABIDE_I",0.029
"ABIDE_I",0.026
"ABIDE_I",0.03
"ABIDE_I",0.027
"ABIDE_I",0.031
"ABIDE_I",0.032
"ABIDE_I",0.038
"ABIDE_I",0.041
"ABIDE_I",0.031
"ABIDE_I",0.024
"ABIDE_I",0.038
"ABIDE_I",0.027
"ABIDE_I",0.024
"ABIDE_I",0.044
"ABIDE_I",0.025
"ABIDE_I",0.034
"ABIDE_I",0.047
"ABIDE_I",0.021
"ABIDE_I",0.057
"ABIDE_I",0.025
"ABIDE_I",0.034
"BCH",0.024
"BCH",0.027
"BCH",0.03
"BCH",0.032
"BCH",0.026
"BCH",0.031
"BCH",0.05
"BCH",0.037
"BCH",0.044
"BCH",0.041
"BCH",0.041
"BCH",0.029
"BCH",0.035
"BCH",0.026
"BCH",0.031
"BCH",0.032
"BCH",0.03
"BCH",0.04
"BCH",0.052
"BCH",0.035
"BCH",0.036
"BCH",0.032
"BCH",0.036
"BCH",0.046
"BCH",0.02
"BCH",0.02
"BCH",0.027
"BCH",0.019
"BCH",0.027
"BCH",0.026
"BCH",0.023
"BCH",0.051
"BCH",0.035
"BCH",0.028
"BCH",0.035
"BCH",0.04
"BCH",0.051
"BCH",0.041
"BCH",0.041
"BCH",0.05
"BCH",0.04
"BCH",0.028
"BCH",0.039
"BCH",0.049
"BCH",0.019
"BCH",0.054
"BCH",0.044
"BCH",0.035
"BCH",0.044
"BCH",0.028
"BCH",0.033
"BCH",0.039
"BCH",0.038
"BCH",0.05
"BCH",0.039
"BCH",0.018
"BCH",0.03
"BCH",0.034
"BCH",0.021
"BCH",0.034
"BCH",0.051
"BCH",0.031
"BCH",0.039
"BCH",0.019
"BCH",0.041
"BCH",0.034
"BCH",0.03
"BCH",0.041
"BCH",0.028
"BCH",0.038
"BCH",0.052
"BCH",0.053
"BCH",0.051
"BCH",0.03
"BCH",0.034
"BCH",0.034
"BCH",0.042
"BCH",0.035
"BCH",0.032
"BCH",0.046
"BCH",0.053
"BGSP",0.019
"BGSP",0.026
"BGSP",0.035
"BGSP",0.037
"BGSP",0.028
"BGSP",0.021
"BGSP",0.031
"BGSP",0.027
"BGSP",0.03
"BGSP",0.031
"BGSP",0.033
"BGSP",0.032
"BGSP",0.031
"BGSP",0.029
"BGSP",0.026
"BGSP",0.028
"BGSP",0.023
"BGSP",0.026
"BGSP",0.038
"BGSP",0.037
"BGSP",0.038
"BGSP",0.023
"BGSP",0.033
"BGSP",0.026
"BGSP",0.028
"BGSP",0.03
"BGSP",0.033
"BGSP",0.025
"BGSP",0.027
"BGSP",0.027
"BGSP",0.024
"BGSP",0.031
"BGSP",0.025
"BGSP",0.025
"BGSP",0.021
"BGSP",0.027
"BGSP",0.02
"BGSP",0.047
"BGSP",0.027
"BGSP",0.025
"BGSP",0.028
"BGSP",0.026
"BGSP",0.026
"BGSP",0.022
"BGSP",0.026
"BGSP",0.031
"BGSP",0.017
"BGSP",0.029
"BGSP",0.03
"BGSP",0.038
"BGSP",0.04
"BGSP",0.031
"BGSP",0.036
"BGSP",0.034
"BGSP",0.037
"BGSP",0.035
"BGSP",0.018
"BGSP",0.023
"BGSP",0.027
"BGSP",0.029
"BGSP",0.029
"BGSP",0.029
"BGSP",0.024
"BGSP",0.029
"BGSP",0.022
"BGSP",0.026
"BGSP",0.024
"BGSP",0.022
"BGSP",0.022
"BGSP",0.024
"BGSP",0.032
"BGSP",0.02
"BGSP",0.023
"BGSP",0.032
"BGSP",0.018
"BGSP",0.027
"BGSP",0.03
"BGSP",0.039
"BGSP",0.023
"BGSP",0.033
"BGSP",0.017
"BGSP",0.029
"BGSP",0.025
"BGSP",0.029
"BGSP",0.025
"BGSP",0.031
"BGSP",0.027
"BGSP",0.047
"BGSP",0.035
"BGSP",0.02
"BGSP",0.024
"BGSP",0.025
"BGSP",0.022
"BGSP",0.027
"BGSP",0.041
"BGSP",0.03
"BGSP",0.027
"BGSP",0.026
"BGSP",0.029
"BGSP",0.024
"BGSP",0.031
"BGSP",0.03
"BGSP",0.031
"BGSP",0.044
"BGSP",0.029
"BGSP",0.022
"BGSP",0.019
"BGSP",0.029
"BGSP",0.023
"BGSP",0.027
"BGSP",0.03
"BGSP",0.03
"BGSP",0.022
"BGSP",0.031
"BGSP",0.021
"BGSP",0.027
"BGSP",0.019
"BGSP",0.018
"BGSP",0.028
"BGSP",0.028
"BGSP",0.021
"BGSP",0.03
"BGSP",0.022
"BGSP",0.027
"BGSP",0.034
"BGSP",0.033
"BGSP",0.022
"BGSP",0.028
"BGSP",0.026
"BGSP",0.031
"BGSP",0.021
"BGSP",0.031
"BGSP",0.025
"BGSP",0.016
"BGSP",0.018
"BGSP",0.024
"BGSP",0.025
"BGSP",0.029
"BGSP",0.02
"BGSP",0.02
"BGSP",0.024
"BGSP",0.022
"BGSP",0.023
"BGSP",0.024
"BGSP",0.03
"BGSP",0.024
"BGSP",0.033
"BGSP",0.04
"BGSP",0.031
"BGSP",0.018
"BGSP",0.034
"BGSP",0.035
"BGSP",0.025
"BGSP",0.038
"BGSP",0.031
"BGSP",0.037
"BGSP",0.026
"BGSP",0.027
"BGSP",0.031
"BGSP",0.023
"BGSP",0.026
"BGSP",0.02
"BGSP",0.026
"BGSP",0.023
"BGSP",0.025
"BGSP",0.031
"BGSP",0.025
"BGSP",0.025
"BGSP",0.027
"BGSP",0.028
"BGSP",0.025
"BGSP",0.024
"BGSP",0.043
"BGSP",0.033
"BGSP",0.028
"BGSP",0.022
"BGSP",0.028
"BGSP",0.03
"BGSP",0.031
"BGSP",0.04
"BGSP",0.022
"BGSP",0.032
"BGSP",0.025
"BGSP",0.035
"BGSP",0.024
"BGSP",0.023
"BGSP",0.029
"BGSP",0.027
"BGSP",0.023
"BGSP",0.029
"BGSP",0.029
"BGSP",0.029
"BGSP",0.02
"BGSP",0.022
"BGSP",0.025
"BGSP",0.033
"BGSP",0.028
"BGSP",0.023
"BGSP",0.027
"BGSP",0.027
"BGSP",0.032
"BGSP",0.033
"BGSP",0.022
"BGSP",0.03
"BGSP",0.021
"BGSP",0.034
"BGSP",0.03
"BGSP",0.029
"BGSP",0.034
"BGSP",0.025
"BGSP",0.028
"BGSP",0.031
"BGSP",0.026
"BGSP",0.023
"BGSP",0.026
"BGSP",0.023
"BGSP",0.035
"BGSP",0.03
"BGSP",0.028
"BGSP",0.028
"BGSP",0.015
"BGSP",0.025
"BGSP",0.034
"BGSP",0.021
"BGSP",0.033
"BGSP",0.019
"BGSP",0.029
"BGSP",0.027
"BGSP",0.026
"BGSP",0.025
"BGSP",0.019
"BGSP",0.043
"BGSP",0.03
"BGSP",0.023
"BGSP",0.03
"BGSP",0.033
"BGSP",0.02
"BGSP",0.022
"BGSP",0.035
"BGSP",0.034
"BGSP",0.034
"BGSP",0.033
"BGSP",0.026
"BGSP",0.021
"BGSP",0.031
"BGSP",0.025
"BGSP",0.038
"BGSP",0.034
"BGSP",0.023
"BGSP",0.025
"BGSP",0.029
"BGSP",0.031
"BGSP",0.029
"BGSP",0.032
"BGSP",0.025
"BGSP",0.021
"BGSP",0.024
"BGSP",0.019
"BGSP",0.023
"BGSP",0.023
"BGSP",0.028
"BGSP",0.036
"BGSP",0.027
"BGSP",0.028
"BGSP",0.035
"BGSP",0.03
"BGSP",0.022
"BGSP",0.032
"BGSP",0.032
"BGSP",0.026
"BGSP",0.024
"BGSP",0.022
"BGSP",0.034
"BGSP",0.033
"BGSP",0.025
"BGSP",0.026
"BGSP",0.03
"BGSP",0.022
"BGSP",0.027
"BGSP",0.03
"BGSP",0.029
"BGSP",0.039
"BGSP",0.029
"BGSP",0.032
"BGSP",0.039
"BGSP",0.021
"BGSP",0.026
"BGSP",0.029
"BGSP",0.026
"BGSP",0.039
"BGSP",0.029
"BGSP",0.031
"BGSP",0.032
"BGSP",0.032
"BGSP",0.024
"BGSP",0.036
"BGSP",0.025
"BGSP",0.018
"BGSP",0.025
"BGSP",0.023
"BGSP",0.024
"BGSP",0.029
"BGSP",0.032
"BGSP",0.024
"BGSP",0.02
"BGSP",0.021
"BGSP",0.022
"BGSP",0.045
"BGSP",0.042
"BGSP",0.03
"BGSP",0.033
"BGSP",0.02
"BGSP",0.036
"BGSP",0.03
"BGSP",0.025
"BGSP",0.024
"BGSP",0.022
"BGSP",0.025
"BGSP",0.021
"BGSP",0.037
"BGSP",0.033
"BGSP",0.02
"BGSP",0.027
"BGSP",0.025
"BGSP",0.03
"BGSP",0.019
"BGSP",0.021
"BGSP",0.036
"BGSP",0.018
"BGSP",0.019
