"Dataset","caudalmiddlefrontal.GrayVol","zscore"
"MGH",8187,0.966605864944163
"MGH",6303,-0.138984497328517
"MGH",6042,-0.292147493375846
"MGH",6283,-0.15072112537812
"MGH",7781,0.728352315537205
"MGH",7318,0.456649376188877
"MGH",6812,0.159712686533901
"MGH",2707,-2.24923022064728
"MGH",7398,0.503595888387292
"MGH",4819,-1.00984229860912
"MGH",8984,1.43431049272087
"MGH",10166,2.12794521045246
"MGH",7262,0.423786817649986
"MGH",7302,0.447260073749194
"MGH",4158,-1.39773785564853
"MGH",6141,-0.234051184530307
"MGH",6274,-0.156002608000442
"MGH",4785,-1.02979456629345
"MGH",8180,0.962498045126801
"MGH",5693,-0.496951652841433
"MGH",9054,1.47538869089449
"MGH",6671,0.0769694587841937
"MGH",6011,-0.310339266852732
"MGH",7212,0.394445247525977
"MGH",5831,-0.415968919299167
"MGH",6738,0.116287162750366
"MGH",5915,-0.366675081490831
"MGH",6776,0.138586756044614
"MGH",7423,0.518266673449297
"MGH",7168,0.368624665816848
"MGH",6692,0.0892929182362777
"MGH",5792,-0.438855343995894
"MGH",6640,0.0587776853073078
"MGH",6762,0.130371116409891
"MGH",5939,-0.352591127831306
"MGH",7755,0.71309469907272
"MGH",5812,-0.42711871594629
"MGH",7153,0.359822194779646
"MGH",8626,1.22422485063297
"MGH",6238,-0.177128538489729
"MGH",6000,-0.316794412280014
"MGH",6064,-0.279237202521282
"MGH",7372,0.488338271922807
"MGH",7835,0.760041211271136
"MGH",6796,0.150323384094218
"MGH",6875,0.196683064890153
"MGH",6601,0.0358912606105803
"MGH",6842,0.177317628608306
"MGH",9464,1.71598956591137
"MGH",5857,-0.400711302834682
"MGH",7485,0.554650220403069
"MGH",6117,-0.248135138189832
"MGH",8226,0.98949228964089
"MGH",1328,-3.05847072466747
"MGH",1342,-3.05025508503274
"MGH",7307,0.450194230761595
"MGH",7774,0.724244495719844
"MGH",4840,-0.997518839157036
"MGH",9123,1.51588005766562
"MGH",6281,-0.151894788183081
"MGH",5438,-0.646593660473881
"MGH",3522,-1.77096262762593
"MGH",4257,-1.33964154680299
"MGH",5954,-0.343788656794103
"MGH",7230,0.40500821277062
"MGH",9437,1.7001451180444
"MGH",9618,1.80636160189332
"MGH",8624,1.22305118782801
"MGH",7339,0.468972835640961
"MGH",6834,0.172622977388465
"MGH",4061,-1.4546605016891
"MGH",6875,0.196683064890153
"MGH",5943,-0.350243802221385
"MGH",5939,-0.352591127831306
"MGH",7529,0.580470802112197
"MGH",7041,0.294097077701864
"MGH",5928,-0.359046273258588
"MGH",6574,0.0200468127436152
"MGH",5174,-0.801517150728652
"MGH",6449,-0.0533071125664087
"MGH",5533,-0.590844677238263
"MGH",8325,1.04758859848643
"MGH",6065,-0.278650371118802
"MGH",5678,-0.505754123878636
"MGH",9008,1.4483944463804
"MGH",6005,-0.313860255267613
"MGH",7374,0.489511934727768
"MGH",5199,-0.786846365666647
"MGH",7859,0.77412516493066
"MGH",8318,1.04348077866907
"MGH",8250,1.00357624330041
"MGH",6577,0.0218073069510558
"MGH",6488,-0.0304206878696812
"MGH",6806,0.156191698119019
"MGH",9770,1.8955599750703
"MGH",5031,-0.885434041283319
"MGH",7435,0.525308650279059
"MGH",6926,0.226611466416642
"MGH",6699,0.093400738053639
"MGH",7943,0.823419002738996
"MGH",5253,-0.755157469932717
"MGH",5679,-0.505167292476156
"MGH",6966,0.25008472251585
"MGH",6610,0.041172743232902
"MGH",2416,-2.41999815876902
"MGH",6924,0.225437803611682
"MGH",9567,1.77643320036683
"MGH",7005,0.272971147212577
"MGH",7638,0.644435424982538
"MGH",4118,-1.42121111174773
"MGH",9716,1.86387107933637
"MGH",7621,0.634459291140375
"MGH",4234,-1.35313866906003
"MGH",3703,-1.66474614377701
"MGH",5164,-0.807385464753454
"MGH",5852,-0.403645459847082
"MGH",6517,-0.0134025771977557
"MGH",5123,-0.831445552255142
"MGH",5209,-0.780978051641845
"MGH",5030,-0.886020872685799
"MGH",10295,2.2036464613724
"MGH",7955,0.830460979568759
"MGH",6335,-0.12020589244915
"MGH",8390,1.08573263964764
"MGH",6586,0.0270887895733775
"MGH",5588,-0.558568950101853
"MGH",5612,-0.544484996442328
"MGH",8609,1.2142487167908
"MGH",4551,-1.16711311447381
"MGH",6471,-0.0403968217118445
"MGH",8886,1.37680101527782
"MGH",8760,1.30286025856531
"MGH",6912,0.21839582678192
"MGH",5618,-0.540964008027447
"MGH",8350,1.06225938354843
"MGH",3257,-1.92647294928318
"MGH",5617,-0.541550839429927
"MGH",5614,-0.543311333637368
"MGH",9273,1.60390476803765
"MGH",4074,-1.44703169345686
"MGH",7668,0.662040367056944
"MGH",3033,-2.05792318343874
"MGH",5136,-0.823816744022899
"MGH",6813,0.160299517936381
"MGH",6791,0.147389227081817
"MGH",7224,0.401487224355739
"MGH",7261,0.423199986247506
"MGH",4827,-1.00514764738928
"MGH",6590,0.0294361151832982
"MGH",5883,-0.385453686370197
"MGH",5881,-0.386627349175157
"MGH",8155,0.947827260064797
"MGH",6604,0.0376517548180209
"MGH",5673,-0.508688280891037
"MGH",6814,0.160886349338861
"MGH",6580,0.0235678011584963
"MGH",1104,-3.18992095882303
"MGH",5675,-0.507514618086076
"MGH",7978,0.843958101825803
"MGH",5108,-0.840248023292344
"MGH",5607,-0.547419153454729
"MGH",7082,0.318157165203552
"MGH",1527,-2.94169127557391
"MGH",6072,-0.274542551301441
"MGH",6357,-0.107295601594586
"MGH",3787,-1.61545230596868
"MGH",9791,1.90788343452239
"MGH",9126,1.51764055187306
"MGH",3637,-1.7034770163407
"MGH",5546,-0.583215869006021
"MGH",6753,0.125089633787569
"MGH",6625,0.0499752142701049
"MGH",9063,1.48067017351681
"MGH",8063,0.893838771036619
"MGH",7819,0.750651908831453
"MGH",6323,-0.127247869278913
"MGH",5822,-0.421250401921488
"MGH",5036,-0.882499884270918
"MGH",7103,0.330480624655636
"MGH",8749,1.29640511313803
"BGSP",6656,0.366839920894482
"BGSP",7580,1.23119695124013
"BGSP",5756,-0.475066277494135
"BGSP",6548,0.265811177087848
"BGSP",5745,-0.485356242141107
"BGSP",6118,-0.136432895475602
"BGSP",4084,-2.03914090383388
"BGSP",8001,1.62502196181969
"BGSP",5646,-0.577965923963855
"BGSP",6400,0.127364380019498
"BGSP",4513,-1.63783228260197
"BGSP",5146,-1.04569158973531
"BGSP",7687,1.33129024371522
"BGSP",7509,1.16477990670058
"BGSP",8302,1.90659281261411
"BGSP",7833,1.46786613812048
"BGSP",5769,-0.462905410184077
"BGSP",4399,-1.74447373439786
"BGSP",5755,-0.476001728825678
"BGSP",6455,0.178814203254358
"BGSP",4974,-1.20658921876069
"BGSP",7415,1.07684748153555
"BGSP",5482,-0.731379942336892
"BGSP",5926,-0.316039551131841
"BGSP",7279,0.949626100445714
"BGSP",6102,-0.151400116780289
"BGSP",4357,-1.78376269032266
"BGSP",6071,-0.180399108058119
"BGSP",7196,0.871983639927652
"BGSP",5267,-0.932501978618617
"BGSP",6232,-0.0297914436797108
"BGSP",6488,0.209684097195274
"BGSP",7614,1.26300229651259
"BGSP",7935,1.56328217393786
"BGSP",4389,-1.75382824771329
"BGSP",6405,0.132041636677212
"BGSP",5068,-1.11865679359566
"BGSP",5997,-0.249622506592294
"BGSP",5699,-0.528387003392081
"BGSP",5777,-0.455421799531734
"BGSP",6129,-0.12614293082863
"BGSP",7081,0.764406736800218
"BGSP",5560,-0.658414738476545
"BGSP",6386,0.114268061377897
"BGSP",4963,-1.21687918340766
"BGSP",5262,-0.937179235276332
"BGSP",8617,2.20125998205012
"BGSP",5211,-0.98488725318502
"BGSP",7432,1.09275015417178
"BGSP",5917,-0.324458613115727
"BGSP",5322,-0.881052155383757
"BGSP",4220,-1.91191952274404
"BGSP",6265,0.00107845026120514
"BGSP",5521,-0.694897340406718
"BGSP",5635,-0.588255888610827
"BGSP",6220,-0.0410168596582257
"BGSP",6108,-0.145787408791031
"BGSP",7161,0.839242843323651
"BGSP",7696,1.33970930569911
"BGSP",6731,0.4369987707602
"BGSP",6811,0.511834877283633
"BGSP",8600,2.1853573094139
"BGSP",5940,-0.30294323249024
