"Dataset","caudalanteriorcingulate.SurfArea","zscore"
"MGH",445,-0.223817705127763
"MGH",390,-0.527143547806045
"MGH",709,1.23214633972799
"MGH",512,0.145688321407599
"MGH",610,0.686159822907085
"MGH",508,0.123628260121906
"MGH",481,-0.0252771535565234
"MGH",232,-1.39851596859093
"MGH",439,-0.256907797056303
"MGH",405,-0.444418317984696
"MGH",558,0.399379026193072
"MGH",621,0.746824991442741
"MGH",699,1.17699618651376
"MGH",470,-0.0859423220921799
"MGH",342,-0.791864283234365
"MGH",473,-0.06939727612791
"MGH",490,0.0243579843362864
"MGH",372,-0.626413823591665
"MGH",570,0.465559210050152
"MGH",280,-1.13379523316261
"MGH",1225,4.07789424558243
"MGH",619,0.735794960799894
"MGH",607,0.669614776942815
"MGH",472,-0.0749122914493333
"MGH",490,0.0243579843362864
"MGH",492,0.0353880149791331
"MGH",266,-1.21100544766254
"MGH",587,0.559314470514348
"MGH",614,0.708219884192778
"MGH",406,-0.438903302663272
"MGH",455,-0.16866755191353
"MGH",485,-0.00321709227083016
"MGH",303,-1.00694988076987
"MGH",634,0.818520190621244
"MGH",504,0.101568198836213
"MGH",561,0.415924072157342
"MGH",265,-1.21652046298396
"MGH",498,0.068478106907673
"MGH",782,1.6347424581919
"MGH",503,0.0960531835147896
"MGH",247,-1.31579073876958
"MGH",529,0.239443581871796
"MGH",512,0.145688321407599
"MGH",547,0.338713857657416
"MGH",289,-1.0841600952698
"MGH",455,-0.16866755191353
"MGH",408,-0.427873272020426
"MGH",644,0.873670343835477
"MGH",770,1.56856227433482
"MGH",631,0.801975144656974
"MGH",510,0.134658290764753
"MGH",284,-1.11173517187692
"MGH",685,1.09978597201383
"MGH",14,-2.60078930866121
"MGH",71,-2.28643343534008
"MGH",790,1.67886258076328
"MGH",303,-1.00694988076987
"MGH",259,-1.2496105549125
"MGH",423,-0.345148042199076
"MGH",561,0.415924072157342
"MGH",286,-1.10070514123407
"MGH",604,0.653069730978545
"MGH",485,-0.00321709227083016
"MGH",452,-0.1852125978778
"MGH",333,-0.841499421127174
"MGH",601,0.636524685014275
"MGH",929,2.44544971044112
"MGH",569,0.460044194728729
"MGH",362,-0.681563976805898
"MGH",522,0.200838474621833
"MGH",313,-0.951799727555641
"MGH",521,0.195323459300409
"MGH",487,0.00781293837201647
"MGH",455,-0.16866755191353
