"Dataset","superiorparietal.NumVert","zscore"
"MGH",6455,-0.256239507403719
"MGH",5323,-0.917712193115242
"MGH",7321,0.249798783962163
"MGH",9383,1.45470751005506
"MGH",8047,0.674029499356655
"MGH",6804,-0.0523049073036123
"MGH",6455,-0.256239507403719
"MGH",2849,-2.36336892849537
"MGH",5984,-0.531463566564609
"MGH",7090,0.11481628360937
"MGH",7912,0.595143622527101
"MGH",6306,-0.343306141830413
"MGH",9570,1.5639790579597
"MGH",9225,1.36238181717306
"MGH",6846,-0.0277626345121953
"MGH",8833,1.13332060445317
"MGH",7071,0.103713826870395
"MGH",5914,-0.572367354550304
"MGH",8804,1.11637474943053
"MGH",5004,-1.10411659836434
"MGH",9537,1.54469584362359
"MGH",7372,0.279600115208883
"MGH",6979,0.0499545626606249
"MGH",9381,1.45353883039833
"MGH",5549,-0.785651391904284
"MGH",5553,-0.783314032590816
"MGH",6028,-0.505752614116458
"MGH",6856,-0.0219192362285246
"MGH",9026,1.24609819132802
"MGH",6294,-0.350318219770818
"MGH",8631,1.01528395912302
"MGH",7198,0.177924985073013
"MGH",6107,-0.45958976767546
"MGH",9593,1.57741887401214
"MGH",8394,0.876795419800028
"MGH",8291,0.81660841747822
"MGH",3861,-1.7720170221879
"MGH",8287,0.814271058164752
"MGH",8762,1.09183247663911
"MGH",8171,0.746487638074172
"MGH",3417,-2.03146390598288
"MGH",7484,0.345046175985995
"MGH",5227,-0.973808816638481
"MGH",7197,0.177340645244646
"MGH",3889,-1.75565550699362
"MGH",6783,-0.0645760436993207
"MGH",6904,0.00612907553309469
"MGH",6639,-0.148720978984179
"MGH",8034,0.666433081587883
"MGH",6826,-0.0394494310795367
"MGH",7046,0.0891053311612185
"MGH",5757,-0.664108707603934
"MGH",6624,-0.157486076409685
"MGH",2617,-2.49893576867653
"MGH",4247,-1.54646184843821
"MGH",9115,1.29810443605269
"MGH",7042,0.0867679718477503
"MGH",4189,-1.5803535584835
"MGH",7499,0.353811273411501
"MGH",7424,0.309985786283971
"MGH",4958,-1.13099623046922
"MGH",6168,-0.423945038145068
"MGH",7413,0.303558048171933
"MGH",9194,1.34426728249368
"MGH",6814,-0.0464615090199416
"MGH",8738,1.0778083207583
"MGH",7836,0.550733795571203
"MGH",7671,0.454317723890637
"MGH",5649,-0.727217409067577
"MGH",9324,1.4202314601814
"MGH",4048,-1.66274547428326
"MGH",8575,0.982560928734468
"MGH",5848,-0.610933783222531
"MGH",7144,0.146370634341191
"MGH",6218,-0.394728046726715
"MGH",8446,0.907181090875116
"MGH",8969,1.21279082111109
"MGH",6951,0.033593047466347
