"Dataset","lh_bankssts_thickness"
"ABIDE_I",2.146271283
"ABIDE_I",2.380836295
"BCH",2.322481097
"BCH",105.78
"MGH",2.624555064
"MGH",2.514709985
"NIH",2.617939607
"NIH",2.253827923
"OASIS_3",-240.56
"OASIS_3",2.403720687
