"Dataset","lh_bankssts_thickness"
"ABIDE_I",2.235
"ABIDE_I",2.44
"BCH",2.389
"BCH",102.566
"MGH",2.653
"MGH",2.557
"NIH",2.645
"NIH",2.329
"OASIS_3",-230.742
